"Date","Price","Open","High","Low","Change %"
"Jun 30, 2020","1.7282","1.7140","1.7285","1.7111","0.83%"
"Jun 29, 2020","1.7139","1.7177","1.7256","1.7084","-0.29%"
"Jun 26, 2020","1.7189","1.7284","1.7305","1.7168","-0.52%"
"Jun 25, 2020","1.7278","1.7304","1.7345","1.7253","-0.14%"
"Jun 24, 2020","1.7304","1.7416","1.7428","1.7280","-0.65%"
"Jun 23, 2020","1.7416","1.7355","1.7425","1.7307","0.36%"
"Jun 22, 2020","1.7354","1.7268","1.7373","1.7239","0.49%"
"Jun 19, 2020","1.7270","1.7322","1.7354","1.7230","-0.29%"
"Jun 18, 2020","1.7320","1.7494","1.7514","1.7281","-0.99%"
"Jun 17, 2020","1.7494","1.7543","1.7556","1.7443","-0.28%"
"Jun 16, 2020","1.7543","1.7535","1.7624","1.7510","0.05%"
"Jun 15, 2020","1.7534","1.7448","1.7539","1.7393","0.40%"
"Jun 12, 2020","1.7464","1.7553","1.7576","1.7396","-0.53%"
"Jun 11, 2020","1.7557","1.7632","1.7645","1.7527","-0.44%"
"Jun 10, 2020","1.7635","1.7682","1.7718","1.7615","-0.25%"
"Jun 09, 2020","1.7679","1.7658","1.7701","1.7579","0.11%"
"Jun 08, 2020","1.7659","1.7672","1.7722","1.7574","0.06%"
"Jun 05, 2020","1.7649","1.7612","1.7737","1.7559","0.21%"
"Jun 04, 2020","1.7612","1.7578","1.7644","1.7523","0.19%"
"Jun 03, 2020","1.7579","1.7572","1.7622","1.7547","0.01%"
"Jun 02, 2020","1.7577","1.7597","1.7647","1.7538","-0.06%"
"Jun 01, 2020","1.7587","1.7420","1.7603","1.7397","0.90%"
"May 29, 2020","1.7429","1.7464","1.7510","1.7354","-0.19%"
"May 28, 2020","1.7463","1.7417","1.7486","1.7372","0.34%"
"May 27, 2020","1.7404","1.7467","1.7498","1.7343","-0.37%"
"May 26, 2020","1.7469","1.7367","1.7512","1.7341","0.58%"
"May 25, 2020","1.7368","1.7354","1.7385","1.7340","0.11%"
"May 22, 2020","1.7349","1.7329","1.7406","1.7303","0.13%"
"May 21, 2020","1.7327","1.7297","1.7362","1.7242","0.18%"
"May 20, 2020","1.7296","1.7357","1.7399","1.7275","-0.33%"
"May 19, 2020","1.7353","1.7292","1.7401","1.7278","0.34%"
"May 18, 2020","1.7294","1.7251","1.7355","1.7223","0.08%"
"May 15, 2020","1.7281","1.7406","1.7420","1.7271","-0.72%"
"May 14, 2020","1.7407","1.7368","1.7421","1.7314","0.22%"
"May 13, 2020","1.7368","1.7385","1.7455","1.7329","-0.10%"
"May 12, 2020","1.7386","1.7487","1.7509","1.7379","-0.55%"
"May 11, 2020","1.7483","1.7529","1.7572","1.7410","-0.29%"
"May 08, 2020","1.7534","1.7493","1.7598","1.7464","0.29%"
"May 07, 2020","1.7482","1.7534","1.7612","1.7400","-0.32%"
"May 06, 2020","1.7537","1.7605","1.7639","1.7525","-0.38%"
"May 05, 2020","1.7605","1.7629","1.7662","1.7593","-0.14%"
"May 04, 2020","1.7630","1.7698","1.7707","1.7564","-0.38%"
"May 01, 2020","1.7698","1.7778","1.7786","1.7677","-0.41%"
"Apr 30, 2020","1.7771","1.7603","1.7796","1.7543","0.95%"
"Apr 29, 2020","1.7605","1.7609","1.7665","1.7524","-0.02%"
"Apr 28, 2020","1.7608","1.7635","1.7727","1.7595","-0.14%"
"Apr 27, 2020","1.7632","1.7621","1.7685","1.7591","0.07%"
"Apr 24, 2020","1.7620","1.7581","1.7629","1.7530","0.13%"
"Apr 23, 2020","1.7598","1.7601","1.7651","1.7536","-0.02%"
"Apr 22, 2020","1.7601","1.7605","1.7662","1.7550","-0.02%"
"Apr 21, 2020","1.7605","1.7675","1.7718","1.7523","-0.40%"
"Apr 20, 2020","1.7675","1.7758","1.7794","1.7657","-0.57%"
"Apr 17, 2020","1.7776","1.7785","1.7832","1.7687","-0.07%"
"Apr 16, 2020","1.7788","1.7816","1.7867","1.7737","-0.17%"
"Apr 15, 2020","1.7819","1.7851","1.7874","1.7730","-0.15%"
"Apr 14, 2020","1.7845","1.7706","1.7886","1.7697","0.76%"
"Apr 13, 2020","1.7710","1.7617","1.7744","1.7599","0.61%"
"Apr 10, 2020","1.7603","1.7650","1.7695","1.7594","-0.25%"
"Apr 09, 2020","1.7649","1.7654","1.7725","1.7623","-0.05%"
"Apr 08, 2020","1.7658","1.7566","1.7709","1.7543","0.58%"
"Apr 07, 2020","1.7555","1.7521","1.7624","1.7426","0.20%"
"Apr 06, 2020","1.7520","1.7644","1.7677","1.7504","-0.69%"
"Apr 03, 2020","1.7641","1.7731","1.7776","1.7587","-0.49%"
"Apr 02, 2020","1.7727","1.7778","1.7872","1.7682","-0.28%"
"Apr 01, 2020","1.7777","1.7658","1.7845","1.7600","0.68%"
"Mar 31, 2020","1.7658","1.7680","1.7737","1.7463","-0.13%"
"Mar 30, 2020","1.7680","1.7745","1.7808","1.7583","-0.55%"
"Mar 27, 2020","1.7778","1.7464","1.7819","1.7362","1.78%"
"Mar 26, 2020","1.7466","1.7198","1.7501","1.7069","1.56%"
"Mar 25, 2020","1.7198","1.7009","1.7308","1.6885","1.12%"
"Mar 24, 2020","1.7007","1.6858","1.7072","1.6803","0.87%"
"Mar 23, 2020","1.6860","1.6904","1.7064","1.6715","-0.10%"
"Mar 20, 2020","1.6877","1.6686","1.7251","1.6558","1.14%"
"Mar 19, 2020","1.6687","1.6759","1.7048","1.6582","-0.42%"
"Mar 18, 2020","1.6757","1.7219","1.7338","1.6573","-2.71%"
"Mar 17, 2020","1.7223","1.7429","1.7461","1.7155","-1.19%"
"Mar 16, 2020","1.7431","1.7385","1.7589","1.7300","0.36%"
"Mar 13, 2020","1.7369","1.7745","1.7783","1.7356","-2.13%"
"Mar 12, 2020","1.7747","1.7887","1.7974","1.7614","-0.80%"
"Mar 11, 2020","1.7890","1.7958","1.8051","1.7845","-0.41%"
"Mar 10, 2020","1.7963","1.8175","1.8186","1.7927","-1.18%"
"Mar 09, 2020","1.8178","1.7982","1.8296","1.7960","1.06%"
"Mar 06, 2020","1.7987","1.7915","1.8000","1.7897","0.31%"
"Mar 05, 2020","1.7931","1.7825","1.7967","1.7794","0.60%"
"Mar 04, 2020","1.7824","1.7780","1.7833","1.7675","0.21%"
"Mar 03, 2020","1.7787","1.7736","1.7860","1.7716","0.32%"
"Mar 02, 2020","1.7731","1.7857","1.7882","1.7704","-0.75%"
"Feb 28, 2020","1.7865","1.7981","1.8035","1.7758","-0.62%"
"Feb 27, 2020","1.7977","1.8034","1.8078","1.7939","-0.32%"
"Feb 26, 2020","1.8035","1.8192","1.8218","1.8024","-0.86%"
"Feb 25, 2020","1.8192","1.8098","1.8214","1.8043","0.57%"
"Feb 24, 2020","1.8089","1.8130","1.8183","1.8062","-0.28%"
"Feb 21, 2020","1.8140","1.8049","1.8154","1.8032","0.50%"
"Feb 20, 2020","1.8049","1.8025","1.8191","1.7998","0.17%"
"Feb 19, 2020","1.8019","1.8102","1.8126","1.8003","-0.46%"
"Feb 18, 2020","1.8103","1.8067","1.8169","1.8054","0.17%"
"Feb 17, 2020","1.8072","1.8139","1.8173","1.8054","-0.48%"
"Feb 14, 2020","1.8160","1.8130","1.8180","1.8097","0.18%"
"Feb 13, 2020","1.8127","1.7967","1.8155","1.7958","0.88%"
"Feb 12, 2020","1.7969","1.7954","1.8008","1.7945","0.07%"
"Feb 11, 2020","1.7957","1.7947","1.7987","1.7897","0.06%"
"Feb 10, 2020","1.7947","1.7920","1.7991","1.7874","0.19%"
"Feb 07, 2020","1.7913","1.7917","1.8023","1.7894","-0.03%"
"Feb 06, 2020","1.7918","1.7962","1.8011","1.7902","-0.24%"
"Feb 05, 2020","1.7962","1.7853","1.8049","1.7848","0.60%"
"Feb 04, 2020","1.7854","1.7788","1.7883","1.7749","0.37%"
